id_lieu,adresse,ville
955,Apt 1983,Hope
956,18th Floor,
957,Room 1442,Qishn
958,Suite 81,Santa Barbara
959,18th Floor,Arvidsjaur
960,20th Floor,Butterworth
961,Suite 39,La Tabatière
962,PO Box 59550,Santa Cruz del Quiche
963,Suite 78,Evenes
964,Apt 1293,Abou-Deïa
965,Suite 46,Manta
966,Suite 49,Sehulea
967,Suite 5,Sarakhs
968,Suite 25,Chetumal
969,PO Box 60802,Mönchengladbach
970,Suite 39,Pinedale
971,Suite 24,Earlton
972,Apt 1503,Meixian
973,PO Box 43224,Almería
974,PO Box 95155,Khuzdar
975,Room 555,Coronation
976,18th Floor,Anguganak
977,Suite 65,Telupid
978,Suite 69,Kaluga
979,PO Box 35876,Diyarbakir
980,PO Box 77377,Kano
981,Room 427,Balimo
982,16th Floor,Pointe Noire
983,12th Floor,Ulukhaktok
984,3rd Floor,Soalala
985,6th Floor,Sila Mission
986,Apt 732,Pelotas
987,Suite 73,Paragould
988,PO Box 43675,Aguaclara
989,Room 434,Katiu
990,Suite 69,Hatzfeldhaven
991,Apt 1736,
992,Room 207,Manchester
993,Apt 511,Fort Rucker/Ozark
994,Room 379,Gimli
995,Suite 31,Dunhuang
996,Apt 1478,
997,4th Floor,Bogalusa
998,10th Floor,Gbangbatok
999,Suite 50,Menyamya
1000,12th Floor,Minneapolis
